합계 : Number of reported cases of cholera,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,총합계
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,371,,,19,577,263,,,261,,487,,,,,6,8351,13457,8088,298,25193,107,1,1,130,1745,26508,2391,2395,32618,2736,675,1105,4148,475,831,5751,1155,120,187,,,693,1792,142935
Mali,,,,,,,,,,,,,,,,,,,,,,2665,4792,2,219,130,,,,,,,,,,1795,3759,1916,352,,,,,,,,2191,5723,6,,6,1885,67,18,1455,2839,1178,7,,153,,,2220,219,23,,,,33620
Mauritania,,,,,,,,,,,,,,,,,,,,,,,1139,148,150,,,,,,,,,,,166,259,3734,1578,575,700,,,,,,,4534,462,,,,,80,34,,4132,25,3,,,,46,,,,,,17765
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,453,1018,11,3,18,,4564,1212,1753,2301,10745,521,3,1,,,371,4152,7847,30802,19803,692,,0,8739,42672,44329,17649,8794,24375,13758,20080,2226,6306,2622,9087,19679,7430,1279,647,1869,480,8739,883,327913
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,185,14,3496,159,,,,3,485,,,4342
Nepal,,,,,,,,,,2706,,,,,,,727,2,,34,226,391,4,1,7,8,260,185,428,1662,22,1,24,,,,,,,,141,23888,30648,798,31,32,157,274,245,1745,,,,,,,,,264,,82,1790,12,34,,933,80,169,68011
Niger,,,,,,,,,,,,,,,,,,,,,,16,9265,51,121,286,,,,,,,7,,,3788,,,,,166,,3238,,,732,264,3957,259,,1186,225,81,236,292,2178,553,1232,24,972,,1154,2324,5284,585,2059,51,38,40624
Nigeria,,,,,,,,,,,,,,,,,,,,,,15,22931,1363,157,,38,112,376,197,293,138,107,248,178,1667,30,91,1290,137,1078,,59478,8687,4160,2859,1059,12374,1322,3464,26358,2799,2312,5429,1933,3186,4477,2028,1661,5410,13691,44456,23377,597,6600,35996,5290,768,310217
Pakistan,,,,,,,,,,366,,6704,,,,,21,,,3932,717,2,1185,,,,,144,12,,,,4,,,,,,,,,,,,12092,,,,,,,,,,,,,,,,,164,527,144,1069,1218,,,28301
Philippines,,,,,,,,,,,,,9923,13015,3979,16464,4581,5261,1629,2787,1541,1095,3585,5601,2840,1730,680,1258,1363,1408,1268,836,864,930,,,10,,,,,,,345,708,3340,847,1402,605,729,330,275,174,,,533,139,66,0,,,33,120,1864,6,4547,,124,98835
